"details","Date","Team","Acquired","Relinquished","Notes","week_num","nfl_year","Field","ACL","MCL","ankle","foot","toe","concussion","lower","upper"
"abdominal ","2020-09-06","Broncos",""," Troy Fumagalli","placed on IR with abdominal injury","Offseason",2020,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2019-08-31","Packers",""," Greg Roberts (b. 1996-03-21)","placed on reserve/physically unable to perform list with abdominal injury","Offseason",2019,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2018-12-01","Seahawks",""," C.J. Prosise","placed on IR with abdominal injury","13",2018,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2016-12-23","Vikings",""," Mackensie Alexander / MacKensie Alexander","placed on IR with abdominal injury","16",2016,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2019-12-10","Falcons",""," Calvin Ridley","placed on IR with abdominal injury","15",2019,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2019-11-23","Eagles",""," Johnathan Ford / Rudy Ford","placed on IR with abdominal injury","12",2019,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2016-10-04","Lions",""," Wallace Gilberry","placed on IR with abdominal injury","5",2016,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2021-11-20","Titans",""," Bud Dupree","placed on IR with abdominal injury","11",2021,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2017-08-24","Colts",""," Tevin Mitchel","placed on IR with abdominal injury","Offseason",2017,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2016-10-18","Browns",""," Jordan Poyer","placed on IR with abdominal injury","7",2016,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2022-01-04","Seahawks",""," Alex Collins","placed on IR with abdominal injury","18",2021,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2021-09-18","Patriots",""," Quinn Nordin","placed on IR with abdominal injury","2",2021,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2015-12-02","Cowboys",""," Ryan Russell","placed on IR with abdominal injury","13",2015,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2015-08-17","Eagles",""," Brandon Hepburn","placed on IR with abdominal injury","Offseason",2015,"Grass",0,0,0,0,0,0,0,0
"abdominal ","2017-12-27","Jets",""," Brian Winters","placed on IR with abdominal injury","17",2017,"Turf",0,0,0,0,0,0,0,0
"abdominal ","2018-08-19","Browns",""," Julian Allen (f)","placed on IR with abdominal injury","Offseason",2018,"Grass",0,0,0,0,0,0,0,0
"Achilles ","2015-06-04","Raiders",""," Andre Debose","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-10-16","Packers",""," Quinten Rollins","placed on IR with Achilles injury","6",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-09-09","Ravens",""," Justice Hill","placed on IR with Achilles injury","1",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2018-11-28","Dolphins",""," Jakeem Grant","placed on IR with Achilles injury","13",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2020-12-26","Jaguars",""," Sidney Jones IV","placed on IR with Achilles injury","16",2020,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-03","Bengals",""," A.J. Hawk (a)","placed on IR with Achilles injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-06-22","Bills",""," Bryan Cox Jr.","placed on IR with Achilles injury","Offseason",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2019-09-01","Rams",""," Josh Carraway","placed on IR with Achilles injury","Offseason",2019,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2018-09-01","Patriots",""," Isaiah Wynn","placed on IR with Achilles injury","Offseason",2018,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2016-12-03","Jaguars",""," Rashad Greene Sr.","placed on IR with Achilles injury","13",2016,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-08-07","Seahawks",""," Brandon Cottom","placed on IR with Achilles injury","Offseason",2016,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2019-05-14","Broncos",""," Nico Falah","placed on IR with Achilles injury","Offseason",2019,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2020-12-16","Jets",""," Saquan Hampton","placed on IR with Achilles injury","15",2020,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-08-28","Dolphins",""," Vince Biegel","placed on IR with Achilles injury","Offseason",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-12-24","Texans",""," Demaryius Thomas","placed on IR with Achilles injury","16",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-05-02","Cardinals",""," Gabe Martin","placed on IR with Achilles injury","Offseason",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-10-04","Falcons",""," Sean Weatherspoon","placed on IR with Achilles injury","5",2016,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2017-05-03","Eagles",""," Dominique Williams (b) / Dom Williams","placed on IR with Achilles injury","Offseason",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-06-17","Panthers",""," Tyronne Green","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-10-23","Chiefs",""," Jody Fortson Jr. / Joe Fortson","placed on IR with Achilles injury","7",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-13","Cowboys",""," Chris Whaley","placed on IR with Achilles injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-07-23","Buccaneers",""," Curtis Riley","placed on IR with Achilles injury","Offseason",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-05-10","Jets",""," Saquan Hampton","placed on reserve/physically unable to perform list with Achilles injury","Offseason",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2016-08-07","Seahawks",""," Ronnie Shields","placed on IR with Achilles injury","Offseason",2016,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2021-12-27","Washington",""," Tyler Larsen","placed on IR with Achilles injury","16",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-08-31","49ers",""," Tarvarius Moore","placed on reserve/physically unable to perform list with Achilles injury","Offseason",2021,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-10-06","49ers",""," NaVorro Bowman","placed on IR with Achilles injury","5",2016,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-02-06","Chiefs",""," Eric Fisher","placed on IR with Achilles injury","SuperBowl",2020,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-08-06","Cardinals",""," Gabe Martin","placed on IR with Achilles injury","Offseason",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-08","Jets",""," Antonio Allen","placed on IR with Achilles injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2019-09-09","Buccaneers",""," Justin Evans (b. 1995-08-26)","placed on IR with Achilles injury","1",2019,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-09-06","Dolphins",""," MarQueis Gray","placed on IR with Achilles injury","1",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-10-21","Washington",""," Josh Doctson","placed on IR with Achilles injury","7",2016,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-07-31","Steelers",""," Shawn Lemon","placed on physically unable to perform list with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-09-01","Texans",""," D'Onta Foreman","placed on reserve/physically unable to perform list with Achilles injury","Offseason",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-09-02","Dolphins",""," Tony Lippett","placed on IR with Achilles injury","Offseason",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2019-08-23","Steelers",""," Lavon Hooks","placed on IR with Achilles injury","Offseason",2019,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2018-11-27","Raiders",""," Jacquies Smith","placed on IR with Achilles injury","13",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2017-11-08","Browns",""," Reggie Porter","placed on IR with Achilles injury","10",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2019-08-04","Seahawks",""," Justin Johnson","placed on IR with Achilles injury","Offseason",2019,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2015-08-03","Broncos",""," A.J. Hawk (a)","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2021-06-02","Ravens",""," Xavier Kelly","placed on IR with Achilles injury","Offseason",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2018-06-12","Broncos",""," Deiontrez Mount","placed on IR with Achilles injury","Offseason",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2020-09-23","Raiders",""," Richie Incognito","placed on IR with Achilles injury","3",2020,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-12-25","Cowboys",""," Gavin Escobar","placed on IR with Achilles injury","16",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles ","2015-07-30","Titans",""," Dorin Dickerson","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-05-12","Texans",""," James Rouse (b)","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2015-08-03","Broncos",""," Kyle Williams (Steven)","placed on IR with Achilles injury","Offseason",2015,"Grass",0,0,0,0,0,0,1,0
"Achilles ","2016-08-29","Ravens",""," Benjamin Watson / Ben Watson","placed on IR with Achilles injury","Offseason",2016,"Turf",0,0,0,0,0,0,1,0
"Achilles / ankle ","2017-12-12","Rams",""," Kayvon Webster","placed on IR with Achilles / ankle injury","15",2017,"Turf",0,0,1,0,0,0,1,0
"Achilles injury / knee ","2018-06-04","Steelers",""," Jake McGee","placed on IR with Achilles injury / knee injury","Offseason",2018,"Grass",0,0,0,0,0,0,1,0
"Achilles tendon ","2015-06-16","Seahawks",""," Ryan Robinson (b)","placed on IR with Achilles tendon injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"Achilles tendon ","2021-08-07","Giants",""," Levine Toilolo","placed on IR with Achilles tendon injury","Offseason",2021,"Turf",0,0,0,0,0,0,1,0
"Achilles tendon ","2017-10-31","Eagles",""," Achilles tendon injury (out)","placed on IR with Achilles tendon injury","9",2017,"Grass",0,0,0,0,0,0,1,0
"Achilles tendon ","2015-08-16","Giants",""," Mykkele Thompson","placed on IR with Achilles tendon injury","Offseason",2015,"Turf",0,0,0,0,0,0,1,0
"ACL ","2015-08-18","Bills",""," Jarius Wynn","placed on IR with ACL injury in knee","Offseason",2015,"Turf",1,0,0,0,0,0,1,0
"adductor ","2019-08-31","Giants",""," Rod Smith (b. 1992-01-10)","placed on IR with adductor injury","Offseason",2019,"Turf",0,0,0,0,0,0,0,0
"ankle ","2022-01-03","Texans",""," Grayland Arnold","placed on IR with ankle injury","17",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-09-29","Packers",""," Muhammad Wilkerson","placed on IR with ankle injury","4",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2019-08-31","Cowboys",""," Chris Westry","placed on IR with ankle injury","Offseason",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2016-12-30","Ravens",""," Jimmy Smith","placed on IR with ankle injury","17",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2021-12-08","Raiders",""," Nick Kwiatkoski","placed on IR with ankle injury","14",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-11-10","Dolphins",""," Greg Mancz","placed on IR with ankle injury","10",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-09-06","Lions",""," Michael Ford / Mike Ford (b. 1995-08-04)","placed on IR with ankle injury","Offseason",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2018-09-12","Washington",""," Trey Quinn","placed on IR with ankle injury","2",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-12-29","Bears",""," Jalen Tabor / Teez Tabor","placed on IR with ankle injury","17",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-01-03","Lions",""," Asa Jackson","placed on IR with ankle injury","WildCard",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-09-24","Raiders",""," Marquel Lee","placed on IR with ankle injury","4",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-11-17","Patriots",""," Josh Uche","placed on IR with ankle injury","11",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-12-16","Jaguars",""," Brandon Linder","placed on IR with ankle injury","15",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-08-14","Cowboys",""," Marchie Murdock","placed on IR with ankle injury","Offseason",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2016-08-30","Steelers",""," Ladarius Green","placed on reserve/physically unable to perform list with ankle injury, headaches","Offseason",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-01-02","Chiefs",""," Akeem Hunt","placed on IR with ankle injury","WildCard",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-12-29","49ers",""," Matt Breida","placed on IR with ankle injury","17",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-08-13","Packers",""," Randy Ramsey","placed on IR with ankle injury","Offseason",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-12-05","Chiefs",""," Dorian O'Daniel","placed on IR with ankle injury","12",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-09-03","Ravens",""," Brennen Beyer","placed on IR with ankle injury","Offseason",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-08-24","Steelers",""," Greg Ducre","placed on IR with ankle injury","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-23","Jaguars",""," Aaron Colvin","placed on IR with ankle injury","16",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-09-03","49ers",""," Will Redmond","placed on IR with ankle injury","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-11-29","Giants",""," Janoris Jenkins","placed on IR with ankle injury","13",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2021-12-11","Titans",""," Tommy Hudson","placed on IR with ankle injury","14",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-08-21","Buccaneers",""," Shaheed Salmon","placed on IR with ankle injury","Offseason",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2019-09-01","Rams",""," Dominique Hatfield","placed on IR with ankle injury","Offseason",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-12-07","Browns",""," Robert Jackson Jr.","placed on IR with ankle injury","14",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-11-29","Bills",""," Walter Powell / Walt Powell","placed on IR with ankle injury","13",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-08-31","Giants",""," Scott Simonson","placed on IR with ankle injury","Offseason",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-10-31","49ers",""," Jeff Wilson Jr.","placed on IR with ankle injury","8",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2019-12-23","Bengals",""," A.J. Green (Jeremiah)","placed on IR with ankle injury","16",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-12-29","Rams",""," Darrell Henderson","placed on IR with ankle injury","17",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2018-09-11","Washington",""," Cam Sims","placed on IR with ankle injury","2",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-10-12","Rams",""," Darious Williams","placed on IR with ankle injury","6",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2021-11-01","Giants",""," Carter Coughlin","placed on IR with ankle injury","8",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2015-12-28","Colts",""," Hugh Thornton","placed on IR with ankle injury","16",2015,"Turf",0,0,1,0,0,0,1,0
"ankle ","2018-09-02","Vikings",""," Josh Andrews","placed on IR with ankle injury","Offseason",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2021-10-19","Ravens",""," Ronnie Stanley","placed on IR with ankle injury","7",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-12-17","Panthers",""," Greg Little","placed on IR with ankle injury","15",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-01-01","Colts",""," Anthony Castonzo","placed on IR with ankle injury (out for season)","17",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2018-12-11","Rams",""," Dominique Hatfield","placed on IR with ankle injury","15",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-09-01","Texans",""," Xavier Woodson-Luster","placed on IR with ankle injury","Offseason",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-12-08","Packers",""," Raven Greene","placed on IR with ankle injury","14",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-10-24","49ers",""," Raheem Mostert","placed on IR with ankle injury","7",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-08","Jets",""," Julian Stanford","placed on IR with ankle injury","14",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-07-21","Cardinals",""," Deone Bucannon","placed on active/physically unable to perform list with ankle injury","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-09-01","Chargers",""," Artavis Scott","placed on IR with ankle injury","Offseason",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-09-07","Texans",""," Gareon Conley","placed on IR with ankle injury","Offseason",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-11-03","Packers",""," Kentrell Brice","placed on IR with ankle injury","9",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-09-04","Chargers",""," Rasheed Bailey","placed on IR with ankle injury","Offseason",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-09-04","Chargers",""," Denzel Perryman","placed on IR with ankle injury","Offseason",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2016-11-15","Steelers",""," Steven Johnson (c)","placed on IR with ankle injury","11",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-12-02","Saints",""," Tanoh Kpassagnon","placed on IR with ankle injury","13",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-11-24","Jets",""," La'Mical Perine","placed on IR with ankle injury","12",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2015-12-07","Browns",""," Joel Bitonio","placed on IR with ankle injury","13",2015,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-20","Jaguars",""," Jeremiah Poutasi","placed on IR with ankle injury","16",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-01-03","Seahawks",""," Nolan Frese","placed on IR with ankle injury","WildCard",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2021-09-03","Titans",""," Brady Breeze","placed on IR with ankle injury","Offseason",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-08-31","Bengals",""," Mario Alford","placed on IR with ankle injury","Offseason",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-11-13","Panthers",""," Reggie Bonnafon","placed on IR with ankle injury","10",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2015-12-21","Packers",""," Ty Montgomery","placed on IR with ankle injury","15",2015,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-13","Cardinals",""," Deone Bucannon","placed on IR with ankle injury","15",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-08-10","Panthers",""," Tobais Palmer","placed on IR with ankle injury","Offseason",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-10-01","Browns",""," Nate Orchard","placed on IR with ankle injury","4",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2019-12-28","Rams",""," Darrell Henderson","placed on IR with ankle injury","17",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-09-02","Patriots",""," N'Keal Harry","placed on IR with ankle injury","Offseason",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2016-12-23","Bears",""," Eddie Goldman","placed on IR with ankle injury","16",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-09-01","Giants",""," Nick Becton","placed on IR with ankle injury","Offseason",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-10-22","Jaguars",""," Geoff Swaim","placed on IR with ankle injury, concussion","8",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-11-24","Chiefs",""," Byron Pringle","placed on IR with ankle injury","12",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2015-09-28","Colts",""," Sheldon Price","placed on IR with ankle injury","3",2015,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-09-12","Dolphins",""," Jonathan Ledbetter","placed on IR with ankle injury","2",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-28","Titans",""," Mehdi Abdesmad","placed on IR with ankle injury","17",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-08-18","Chiefs",""," Evan Baylis","placed on IR with ankle injury","Offseason",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-20","Rams",""," Marqui Christian","placed on IR with ankle injury","16",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-09-03","Packers",""," Don Barclay","placed on IR with ankle injury","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-12-11","Saints",""," Michael Ola","placed on IR with ankle injury","15",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-08-09","49ers",""," Zach Franklin","placed on IR with ankle injury","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-09-26","Giants",""," Kaelin Clay","placed on IR with ankle injury","4",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-08-31","Bears",""," Blake Blackmar","placed on IR with ankle injury","Offseason",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-12-13","49ers",""," Victor Bolden Jr.","placed on IR with ankle injury","15",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2015-09-02","Buccaneers",""," Leonard Johnson (c)","placed on IR with ankle injury","Offseason",2015,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-12-11","Washington",""," Wes Schweitzer","placed on IR with ankle injury","14",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-10","Texans",""," Jaelen Strong","placed on IR with ankle injury","14",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-09-05","Colts",""," Kemoko Turay","placed on reserve/physically unable to perform list with ankle injury","Offseason",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-09-03","Bills",""," Michael Ola","placed on IR with ankle injury","Offseason",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2015-12-26","Buccaneers",""," Akeem Spence","placed on IR with ankle injury","16",2015,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-01-02","49ers",""," Michael Wilhoite","placed on IR with ankle injury","17",2015,"Grass",0,0,1,0,0,0,1,0
"ankle ","2019-08-31","Packers",""," Equanimeous St. Brown","placed on IR with ankle injury","Offseason",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-11-18","Falcons",""," Hayden Hurst","placed on IR with ankle injury","11",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2021-08-31","Jets",""," Kyle Phillips","placed on reserve/physically unable to perform list with ankle injury","Offseason",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2016-09-04","Giants",""," Jake Rodgers","placed on IR with ankle injury","Offseason",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-09-01","Panthers",""," Fred Ross","placed on IR with ankle injury","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-08-04","Panthers",""," Travell Dixon","placed on IR with ankle injury","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-10-04","Raiders",""," Ben Heeney","placed on IR with ankle injury","5",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2019-08-30","Saints",""," Will Compton","placed on IR with ankle injury","Offseason",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2018-09-02","Dolphins",""," Rashawn Scott","placed on IR with ankle injury","Offseason",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-11-05","49ers",""," Jimmy Garoppolo","placed on IR with ankle injury","9",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-09-05","Ravens",""," Carl Davis","placed on IR with ankle injury","Offseason",2016,"Turf",0,0,1,0,0,0,1,0
"ankle ","2021-11-24","Lions",""," A.J. Parker","placed on IR with ankle injury","12",2021,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-09-01","Rams",""," Trevon Young","placed on IR with ankle injury","Offseason",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2020-09-17","Cardinals",""," Jalen Thompson","placed on IR with ankle injury","2",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-12-28","Saints",""," Hau'oli Kikaha","placed on IR with ankle injury","17",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-12-11","Saints",""," Sheldon Rankins","placed on IR with ankle injury","15",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-09-03","Falcons",""," Martin Ifedi","placed on IR with ankle injury","Offseason",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2015-12-28","Chargers",""," Ladarius Green","placed on IR with ankle injury","16",2015,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-09-01","Buccaneers",""," Jeremiah Ledbetter","placed on IR with ankle injury","Offseason",2019,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-09-26","Colts",""," Matthew Adams","placed on IR with ankle injury","3",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2016-06-03","Titans",""," Byron Bell","placed on IR with ankle injury","Offseason",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-11-14","Cardinals",""," Leki Fotu","placed on IR with ankle injury","10",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2017-08-23","Seahawks",""," Marcus Lucas","placed on IR with ankle injury","Offseason",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-09-02","Titans",""," Alex Tanney","placed on IR with ankle injury / fractured left foot","Offseason",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-08-24","Browns",""," Alex Taylor","placed on IR with ankle injury","Offseason",2021,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-09-02","Bengals",""," Chris Okoye","placed on IR with ankle injury","Offseason",2018,"Turf",0,0,1,0,0,0,1,0
"ankle ","2015-09-01","Titans",""," Andrew Turzilli","placed on IR with ankle injury","Offseason",2015,"Grass",0,0,1,0,0,0,1,0
"ankle ","2021-01-01","49ers",""," Jordan Willis","placed on IR with ankle injury","17",2020,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-11-03","Ravens",""," Tyre Phillips","placed on IR with ankle injury","9",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2018-12-14","Jaguars",""," Josh Walker","placed on IR with ankle injury","15",2018,"Grass",0,0,1,0,0,0,1,0
"ankle ","2016-12-02","Broncos",""," Andy Janovich","placed on IR with ankle injury","13",2016,"Grass",0,0,1,0,0,0,1,0
"ankle ","2020-12-26","Cowboys",""," Antwaun Woods","placed on IR with ankle injury","16",2020,"Turf",0,0,1,0,0,0,1,0
"ankle ","2019-12-17","Jets",""," Jeff Smith (Alan)","placed on IR with ankle injury","16",2019,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-09-18","Jaguars",""," Calvin Pryor","placed on IR with ankle injury","2",2017,"Grass",0,0,1,0,0,0,1,0
"ankle ","2018-02-05","Giants",""," Bobby Hart","placed on IR with ankle injury","SuperBowl",2017,"Turf",0,0,1,0,0,0,1,0
"ankle ","2017-08-21","Bills",""," Jason Croom","placed on IR with ankle injury","Offseason",2017,"Turf",0,0,1,0,0,0,1,0
